Type,Time,Size
media,1710065363531,733
media,1710065363533,737
media,1710065363533,729
media,1710065363533,2175
fec,1710065363535,2806
media,1710065363535,732
media,1710065363536,734
media,1710065363536,2177
fec,1710065363537,732
media,1710065363537,736
media,1710065363538,2894
media,1710065363538,729
media,1710065363539,736
fec,1710065363539,736
media,1710065363540,2175
media,1710065363540,736
media,1710065363541,736
fec,1710065363542,2175
media,1710065363542,735
media,1710065363542,739
media,1710065363543,2170
media,1710065363543,734
fec,1710065363544,735
media,1710065363544,733
media,1710065363545,2174
media,1710065363545,737
media,1710065363546,738
fec,1710065363546,733
media,1710065363547,2892
media,1710065363547,739
media,1710065363547,730
media,1710065363548,2177
fec,1710065363549,2892
media,1710065363549,733
media,1710065363549,735
media,1710065363550,2176
media,1710065363550,738
fec,1710065363551,733
media,1710065363551,734
media,1710065363551,2180
media,1710065363552,731
media,1710065363552,735
fec,1710065363553,734
media,1710065363553,2175
media,1710065363553,735
media,1710065363554,737
media,1710065363554,2894
fec,1710065363555,2175
media,1710065363555,736
media,1710065363556,2170
media,1710065363556,735
fec,1710065363557,736
media,1710065363558,733
media,1710065363558,2178
media,1710065363558,736
media,1710065363559,739
media,1710065363560,2177
media,1710065363560,739
media,1710065363561,731
media,1710065363561,2174
fec,1710065363562,2177
media,1710065363562,733
media,1710065363562,734
media,1710065363563,738
fec,1710065363564,733
media,1710065363564,737
media,1710065363564,2180
media,1710065363565,730
media,1710065363565,736
media,1710065363566,2175
media,1710065363566,736
media,1710065363567,735
media,1710065363567,2178
media,1710065363568,734
media,1710065363568,738
media,1710065363569,2172
media,1710065363569,735
fec,1710065363570,734
media,1710065363570,734
media,1710065363571,2890
media,1710065363572,738
fec,1710065363572,734
media,1710065363572,2177
media,1710065363573,738
media,1710065363573,729
media,1710065363574,2176
fec,1710065363574,2177
media,1710065363575,732
media,1710065363575,736
media,1710065363576,2177
media,1710065363576,739
fec,1710065363576,732
media,1710065363577,735
media,1710065363577,2181
media,1710065363578,731
media,1710065363578,735
fec,1710065363579,735
media,1710065363579,2889
media,1710065363579,734
media,1710065363580,736
media,1710065363581,2179
fec,1710065363581,2889
media,1710065363581,737
media,1710065363582,739
media,1710065363582,2172
media,1710065363583,736
fec,1710065363583,737
media,1710065363583,733
media,1710065363584,2177
media,1710065363584,739
fec,1710065363585,733
media,1710065363585,2177
media,1710065363586,739
media,1710065363586,731
media,1710065363587,2891
fec,1710065363587,2177
media,1710065363588,735
media,1710065363588,736
media,1710065363589,2180
media,1710065363589,739
fec,1710065363590,735
media,1710065363590,738
media,1710065363591,2178
media,1710065363591,730
media,1710065363591,736
fec,1710065363592,738
media,1710065363592,2172
media,1710065363593,737
media,1710065363594,2181
fec,1710065363594,2172
media,1710065363595,736
media,1710065363595,740
media,1710065363595,2886
media,1710065363596,736
media,1710065363597,733
media,1710065363597,2176
media,1710065363597,737
media,1710065363597,738
fec,1710065363598,733
media,1710065363598,2177
media,1710065363599,740
media,1710065363599,731
media,1710065363599,2179
fec,1710065363600,2177
media,1710065363600,734
media,1710065363601,2179
media,1710065363602,738
fec,1710065363602,734
media,1710065363603,735
media,1710065363603,2894
media,1710065363603,731
media,1710065363604,735
fec,1710065363605,735
media,1710065363605,736
media,1710065363606,738
media,1710065363607,740
media,1710065363608,2171
media,1710065363608,736
fec,1710065363609,738
media,1710065363609,733
media,1710065363610,2177
media,1710065363610,737
media,1710065363610,740
fec,1710065363611,733
media,1710065363611,2892
media,1710065363612,740
media,1710065363612,732
fec,1710065363613,2892
media,1710065363614,735
media,1710065363614,734
media,1710065363615,2177
media,1710065363615,738
fec,1710065363616,735
media,1710065363616,737
media,1710065363617,2181
media,1710065363617,731
media,1710065363618,737
fec,1710065363618,737
media,1710065363618,2174
media,1710065363619,737
media,1710065363619,737
media,1710065363620,2895
fec,1710065363620,2174
media,1710065363621,739
media,1710065363622,2172
media,1710065363622,735
fec,1710065363623,735
media,1710065363623,735
media,1710065363623,2176
media,1710065363624,738
media,1710065363625,2180
media,1710065363626,740
media,1710065363630,731
media,1710065363631,2177
fec,1710065363632,2180
media,1710065363632,733
media,1710065363633,736
media,1710065363634,2892
media,1710065363635,740
fec,1710065363636,733
media,1710065363636,736
media,1710065363637,2181
media,1710065363637,732
media,1710065363638,736
fec,1710065363639,736
media,1710065363642,2177
media,1710065363643,736
media,1710065363644,2180
media,1710065363646,2172
media,1710065363647,737
fec,1710065363648,737
media,1710065363649,734
media,1710065363651,2893
media,1710065363653,737
media,1710065363654,740
fec,1710065363654,734
media,1710065363655,2175
media,1710065363655,739
media,1710065363656,731
media,1710065363656,2176
fec,1710065363657,2175
media,1710065363657,736
media,1710065363658,2178
media,1710065363658,739
media,1710065363659,738
media,1710065363660,2181
media,1710065363661,737
fec,1710065363661,738
media,1710065363662,2888
media,1710065363662,736
media,1710065363662,736
media,1710065363663,2179
fec,1710065363664,2888
media,1710065363664,736
media,1710065363664,740
media,1710065363665,2174
media,1710065363665,736
media,1710065363666,735
media,1710065363667,738
media,1710065363667,738
fec,1710065363668,735
media,1710065363668,2179
media,1710065363669,739
media,1710065363669,730
media,1710065363670,2893
fec,1710065363671,2179
media,1710065363671,734
media,1710065363671,737
media,1710065363672,2179
media,1710065363672,740
fec,1710065363673,734
media,1710065363674,736
media,1710065363674,2182
media,1710065363675,731
media,1710065363676,735
fec,1710065363677,736
media,1710065363678,2175
media,1710065363678,735
media,1710065363679,738
fec,1710065363679,2175
media,1710065363680,738
media,1710065363680,740
media,1710065363680,2886
media,1710065363681,737
fec,1710065363682,738
media,1710065363682,732
media,1710065363682,2177
media,1710065363683,736
media,1710065363683,739
media,1710065363684,2176
media,1710065363684,740
media,1710065363685,2175
media,1710065363686,4962
media,1710065363688,2181
fec,1710065363688,4962
media,1710065363688,737
media,1710065363689,2183
media,1710065363690,739
fec,1710065363690,737
media,1710065363691,725
media,1710065363691,2184
media,1710065363692,731
fec,1710065363692,725
media,1710065363693,2183
media,1710065363693,740
media,1710065363693,731
media,1710065363694,2185
fec,1710065363695,2183
media,1710065363695,731
media,1710065363695,730
media,1710065363696,2181
media,1710065363697,736
fec,1710065363698,731
media,1710065363698,1446
media,1710065363699,2187
media,1710065363699,737
media,1710065363699,735
media,1710065363700,2178
media,1710065363701,735
media,1710065363701,727
media,1710065363702,2183
fec,1710065363702,2178
media,1710065363702,735
media,1710065363703,734
