Time,Bandwidth
1712504659233,1577056
1712504660246,1550933
1712504661249,1585490
1712504662250,1586450
1712504663274,1450968
1712504664273,2184239
1712504665285,2707493
1712504666289,2098369
1712504667290,1856299
1712504668303,1695557
1712504669306,1569214
1712504670309,1468567
1712504671319,1343629
1712504672320,1199394
1712504673319,1096376
1712504674320,1013646
1712504675334,945249
1712504676342,841938
1712504677349,764801
1712504678368,727223
1712504679372,667799
1712504680374,616492
1712504681389,559623
1712504682393,553608
1712504683408,500529
1712504684409,478377
1712504685424,442667
1712504686424,418646
1712504687425,389777
1712504688442,345330
1712504689443,298099
1712504690443,265649
1712504691443,238430
1712504692449,193903
1712504693461,194717
1712504694466,199968
1712504695467,195952
1712504696468,196476
1712504697479,182633
1712504698482,173653
1712504699486,170350
1712504700500,163644
1712504701505,122584
1712504702507,119921
1712504703515,123654
1712504704528,147866
1712504705532,125444
1712504706549,124886
1712504707577,128581
1712504708583,138118
1712504709583,92232
1712504710586,119881
1712504711588,115162
1712504712589,114655
1712504713595,115919
1712504714600,121406
1712504715606,119810
1712504716611,117947
1712504717616,144844
1712504718622,118019
1712504719626,118956
1712504720625,118289
1712504721625,107552
1712504722628,117398
1712504723640,120808
1712504724640,125936
1712504725646,190401
1712504726651,87807
1712504727665,116321
1712504728665,124206
1712504729670,128295
1712504730675,117590
1712504731682,126537
1712504732687,126205
1712504733691,153311
1712504734697,115124
1712504735710,110061
1712504736710,101702
1712504737717,121757
1712504738716,118134
1712504739718,102617
1712504740723,115530
1712504741736,110384
1712504742747,146005
1712504743747,113529
